 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [29/Oct/2017 16:48:56] "GET /current-status HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:49:40] "POST /website-change HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:49:40] "GET /blacklist HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:49:43] "POST /website-change HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:49:43] "GET /blacklist HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:49:57] "POST /website-change HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:49:57] "GET /blacklist HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:50:39] "GET /current-status HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:52:41] "POST /website-change HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:52:41] "GET /blacklist HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:52:41] "GET /blacklist HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:52:50] "GET /blacklist HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:54:36] "GET /current-status HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 16:58:49] "GET /current-status HTTP/1.1" 200 -
127.0.0.1 - - [29/Oct/2017 17:00:09] "GET /current-status HTTP/1.1" 200 -
